year,articles count
1930,2
1931,2
1932,3
1933,1
1934,1
1935,1
1936,1
1937,0
1938,4
1939,0
1940,2
1941,2
1942,2
1943,3
1944,2
1945-6 ,6
1946-7 ,0
1948,3
1949,4
1950-1 ,3
